Path;Traductions
Myte.title;Myte (es)
Myte.General.yes;Si
Myte.General.no;No
Myte.Alerts.vehicleNotFound;Vehiculo no encontrado
Myte.Alerts.vehicleNotFoundMSG;No hemos encontrado detalles de este vehiculo
Myte.Alerts.file;Archivo
Myte.Alerts.fileSucc; descargado con satisfaccion
Myte.Alerts.mailSucc;Mail enviado con satisfaccion
Myte.Alerts.mailErr;Mail no enviado
Myte.Alerts.changesSucc;Cambios guardados con satisfaccion
Myte.Alerts.changesErr;Cambios descartados
Myte.Alerts.myFleetFound; vehículos encontrados
Myte.Alerts.myFleetErr;No se encontraron resultados con esos filtros
Myte.Alerts.myFleetErr2;Ha habido un error contacte con soporte
Myte.Alerts.excel;Excel generado con satisfacción
Myte.Alerts.DocErr;No se han encontrado ningun tipo de documento
Myte.Login.title;Acceso de usuario
Myte.Login.lblUserName;Usuario
Myte.Login.lblPassword;Contraseña
Myte.Login.btnLogIn;Entrar
Myte.Login.lblForgotPassword;¿Olvidaste la contraseña?
Myte.Login.lblError;Datos introducidos incorrectos
Myte.Login.loading;Cargando...
Myte.RemarketingSvc.title;Servicios de remarketing
Myte.RemarketingSvc.lblMyFleet;Mi flota
Myte.RemarketingSvc.lblMarketprice;MarketPrice
Myte.RemarketingSvc.infoMarketPrice;Esto es un texto de info de MarketPrice
Myte.RemarketingSvc.infoMiFlota;Esto es un texto de info de mi flota
Myte.TopMenu.title;Bienvenido
Myte.TopMenu.lblLogOut;Salir
Myte.TopMenu.lblMyInfo;Mi info
Myte.TopMenu.lblContact;Contacto
Myte.TopMenu.lblDashboard;Dashboard
Myte.Contact.title;Contacto
Myte.Contact.mailfromlbl;Enviado desde
Myte.Contact.asuntolbl;Asunto
Myte.Contact.mensajelbl;Mensaje
Myte.Contact.descartarlbl;Enviar e-mail
Myte.Contact.enviarlbl;Descartar e-mail
Myte.User.title;Mi datos de usuario
Myte.MyFleet.title;Mi Flota - Lista de vehículos
Myte.MyFleet.loading;Cargando...
Myte.MyFleet.orderBy;Ordenar por:
Myte.MyFleet.vehicles;vehículos
Myte.MyFleet.lblVin;VIN:
Myte.MyFleet.lblError;Estamos experimientando problemas con el servidor. Por favor contacte con soporte.
Myte.MyFleet.lblPeritExt;Perit. ext:
Myte.MyFleet.lblPeritInt;Perit. intern:
Myte.MyFleet.lblDateEnt;F. entrada:
Myte.MyFleet.lblDateExt;F. salida:
Myte.MyFleet.lblDatePerit;F. peritacion:
Myte.MyFleet.lblVendor;Vendedor:
Myte.MyFleetFilters.title;FILTROS
Myte.MyFleetFilters.close;Cerrar
Myte.MyFleetFilters.reg;Matrícula
Myte.MyFleetFilters.VIN;Número de bastidor
Myte.MyFleetFilters.Model;Modelo
Myte.MyFleetFilters.color;Color
Myte.MyFleetFilters.Vendor;Vendendor
Myte.MyFleetFilters.vendorAll;Todos
Myte.MyFleetFilters.campa;Campa
Myte.MyFleetFilters.peritExtFrom;Perit. Externa desde (€)
Myte.MyFleetFilters.peritExtTo;Perit. Externa hasta (€)
Myte.MyFleetFilters.DateEntFrom;Desde fecha de entrada
Myte.MyFleetFilters.DateEntTo;Hasta fecha de entrada
Myte.MyFleetFilters.DateExtFrom;Desde fecha de salida
Myte.MyFleetFilters.DateExtTo;Hasta fecha de salida
Myte.MyFleetFilters.DatePeritFrom;Desde fecha de peritación
Myte.MyFleetFilters.DatePeritTo;Hasta fecha de peritación
Myte.MyCarDetails.return;Volver
Myte.MyCarDetails.tab1;Vehiculo
Myte.MyCarDetails.tab2;Accesorios/Equipamiento
Myte.MyCarDetails.Specs;ESPECIFICACIONES GENERALES
Myte.MyCarDetails.reg;Matrícula
Myte.MyCarDetails.VIN;VIN
Myte.MyCarDetails.brand;Marca
Myte.MyCarDetails.model;Modelo
Myte.MyCarDetails.location;Campa
Myte.MyCarDetails.vendor;Vendedor
Myte.MyCarDetails.matricula;Matrícula
Myte.MyCarDetails.chasis;Chasis
Myte.MyCarDetails.color;Color
Myte.MyCarDetails.type;Tipo de vehículo
Myte.MyCarDetails.doors;Nº puertas
Myte.MyCarDetails.seats;Nº Asientos
Myte.MyCarDetails.MatDate;Fecha Matriculacion
Myte.MyCarDetails.kms;Kms
Myte.MyCarDetails.fuel;Combustible
Myte.MyCarDetails.CC;CC
Myte.MyCarDetails.powerCV;Potencia (CV)
Myte.MyCarDetails.powerKW;Potencia Fiscal (KW)
Myte.MyCarDetails.gear;Nº marchas
Myte.MyCarDetails.int;Interior
Myte.MyCarDetails.tap;Tapiceria
Myte.MyCarDetails.version;Versión
Myte.MyCarDetails.comments;Comentarios
Myte.MyCarDetails.name;Nombre
Myte.MyCarDetails.value;Valor
Myte.MyCarDetails.images;Imágenes
Myte.MyCarDetails.doc;Documentos
Myte.MyCarDetails.returnButton;VOLVER A MI FLOTA
Myte.MyCarDetails.entity;Entidad
